
Testing the neural network:
Number: -658178, Predicted: even, Actual: even ✓
Number: 442911, Predicted: odd, Actual: odd ✓
Number: 12451, Predicted: odd, Actual: odd ✓
Number: 38106, Predicted: even, Actual: even ✓
Number: -740723, Predicted: odd, Actual: odd ✓
Number: -905582, Predicted: even, Actual: even ✓
Number: -745839, Predicted: odd, Actual: odd ✓
Number: -138352, Predicted: even, Actual: even ✓
Number: 798719, Predicted: odd, Actual: odd ✓
Number: 580285, Predicted: odd, Actual: odd ✓
Number: -360152, Predicted: even, Actual: even ✓
Number: 590544, Predicted: even, Actual: even ✓
Number: 261922, Predicted: even, Actual: even ✓
Number: -989637, Predicted: odd, Actual: odd ✓
Number: -768933, Predicted: odd, Actual: odd ✓
Number: 730220, Predicted: even, Actual: even ✓
Number: -509102, Predicted: even, Actual: even ✓
Number: -140303, Predicted: odd, Actual: odd ✓
Number: -538252, Predicted: even, Actual: even ✓
Number: -338905, Predicted: odd, Actual: odd ✓
Number: -472667, Predicted: odd, Actual: odd ✓
Number: -549772, Predicted: even, Actual: even ✓
Number: 672335, Predicted: odd, Actual: odd ✓
Number: 163180, Predicted: even, Actual: even ✓
Number: 102970, Predicted: even, Actual: even ✓
Number: -270543, Predicted: odd, Actual: odd ✓
Number: -853166, Predicted: even, Actual: even ✓
Number: -391278, Predicted: even, Actual: even ✓
Number: 806989, Predicted: odd, Actual: odd ✓
Number: -339386, Predicted: even, Actual: even ✓
Number: -253232, Predicted: even, Actual: even ✓
Number: 768202, Predicted: even, Actual: even ✓
Number: 224539, Predicted: odd, Actual: odd ✓
Number: -859714, Predicted: even, Actual: even ✓
Number: -268829, Predicted: odd, Actual: odd ✓
Number: 480433, Predicted: odd, Actual: odd ✓
Number: 250341, Predicted: odd, Actual: odd ✓
Number: -582284, Predicted: even, Actual: even ✓
Number: -238107, Predicted: odd, Actual: odd ✓
Number: -449558, Predicted: even, Actual: even ✓
Number: -274093, Predicted: odd, Actual: odd ✓
Number: -714483, Predicted: odd, Actual: odd ✓
Number: -633890, Predicted: even, Actual: even ✓
Number: 120425, Predicted: odd, Actual: odd ✓
Number: -754789, Predicted: odd, Actual: odd ✓
Number: -177330, Predicted: even, Actual: even ✓
Number: -269457, Predicted: odd, Actual: odd ✓
Number: 697859, Predicted: odd, Actual: odd ✓
Number: -607687, Predicted: odd, Actual: odd ✓
Number: -393108, Predicted: even, Actual: even ✓
Number: -753989, Predicted: odd, Actual: odd ✓
Number: 813014, Predicted: even, Actual: even ✓
Number: 73569, Predicted: odd, Actual: odd ✓
Number: 988669, Predicted: odd, Actual: odd ✓
Number: -462546, Predicted: even, Actual: even ✓
Number: -244125, Predicted: odd, Actual: odd ✓
Number: -819769, Predicted: odd, Actual: odd ✓
Number: -168166, Predicted: even, Actual: even ✓
Number: -638670, Predicted: even, Actual: even ✓
Number: 545845, Predicted: odd, Actual: odd ✓
Number: 923684, Predicted: even, Actual: even ✓
Number: 448717, Predicted: odd, Actual: odd ✓
Number: -557756, Predicted: even, Actual: even ✓
Number: 5971, Predicted: odd, Actual: odd ✓
Number: -403464, Predicted: even, Actual: even ✓
Number: 461877, Predicted: odd, Actual: odd ✓
Number: 983197, Predicted: odd, Actual: odd ✓
Number: -33328, Predicted: even, Actual: even ✓
Number: 659787, Predicted: odd, Actual: odd ✓
Number: -737942, Predicted: even, Actual: even ✓
Number: -210764, Predicted: even, Actual: even ✓
Number: 610370, Predicted: even, Actual: even ✓
Number: 68361, Predicted: odd, Actual: odd ✓
Number: -411972, Predicted: even, Actual: even ✓
Number: -399542, Predicted: even, Actual: even ✓
Number: -649551, Predicted: odd, Actual: odd ✓
Number: 523482, Predicted: even, Actual: even ✓
Number: 402947, Predicted: odd, Actual: odd ✓
Number: -837712, Predicted: even, Actual: even ✓
Number: -481348, Predicted: even, Actual: even ✓
Number: 464691, Predicted: odd, Actual: odd ✓
Number: 951159, Predicted: odd, Actual: odd ✓
Number: 466779, Predicted: odd, Actual: odd ✓
Number: 531358, Predicted: even, Actual: even ✓
Number: 392554, Predicted: even, Actual: even ✓
Number: -225193, Predicted: odd, Actual: odd ✓
Number: 687986, Predicted: even, Actual: even ✓
Number: 347010, Predicted: even, Actual: even ✓
Number: 535901, Predicted: odd, Actual: odd ✓
Number: 13094, Predicted: even, Actual: even ✓
Number: -535021, Predicted: odd, Actual: odd ✓
Number: -937364, Predicted: even, Actual: even ✓
Number: -89327, Predicted: odd, Actual: odd ✓
Number: -320206, Predicted: even, Actual: even ✓
Number: 939145, Predicted: odd, Actual: odd ✓
Number: 154249, Predicted: odd, Actual: odd ✓
Number: -770097, Predicted: odd, Actual: odd ✓
Number: 118857, Predicted: odd, Actual: odd ✓
Number: 843233, Predicted: odd, Actual: odd ✓
Number: 428830, Predicted: even, Actual: even ✓
Number: -587146, Predicted: even, Actual: even ✓
Number: -614952, Predicted: even, Actual: even ✓
Number: 45820, Predicted: even, Actual: even ✓
Number: -55248, Predicted: even, Actual: even ✓
Number: -564658, Predicted: even, Actual: even ✓
Number: -961249, Predicted: odd, Actual: odd ✓
Number: -67959, Predicted: odd, Actual: odd ✓
Number: -90631, Predicted: odd, Actual: odd ✓
Number: -305389, Predicted: odd, Actual: odd ✓
Number: 616622, Predicted: even, Actual: even ✓
Number: -951628, Predicted: even, Actual: even ✓
Number: 843824, Predicted: even, Actual: even ✓
Number: 438923, Predicted: odd, Actual: odd ✓
Number: -506168, Predicted: even, Actual: even ✓
Number: 830238, Predicted: even, Actual: even ✓
Number: -783740, Predicted: even, Actual: even ✓
Number: -304256, Predicted: even, Actual: even ✓
Number: -778453, Predicted: odd, Actual: odd ✓
Number: -922665, Predicted: odd, Actual: odd ✓
Number: 482750, Predicted: even, Actual: even ✓
Number: 100381, Predicted: odd, Actual: odd ✓
Number: -551616, Predicted: even, Actual: even ✓
Number: 707846, Predicted: even, Actual: even ✓
Number: -122927, Predicted: odd, Actual: odd ✓
Number: -181288, Predicted: even, Actual: even ✓
Number: -890543, Predicted: odd, Actual: odd ✓
Number: 29795, Predicted: odd, Actual: odd ✓
Number: 509439, Predicted: odd, Actual: odd ✓
Number: 964215, Predicted: odd, Actual: odd ✓
Number: 903582, Predicted: even, Actual: even ✓
Number: -930788, Predicted: even, Actual: even ✓
Number: -353398, Predicted: even, Actual: even ✓
Number: -357634, Predicted: even, Actual: even ✓
Number: -43239, Predicted: odd, Actual: odd ✓
Number: 856850, Predicted: even, Actual: even ✓
Number: -9911, Predicted: odd, Actual: odd ✓
Number: -566904, Predicted: even, Actual: even ✓
Number: 24938, Predicted: even, Actual: even ✓
Number: -798910, Predicted: even, Actual: even ✓
Number: -934527, Predicted: odd, Actual: odd ✓
Number: -639329, Predicted: odd, Actual: odd ✓
Number: -421852, Predicted: even, Actual: even ✓
Number: -23591, Predicted: odd, Actual: odd ✓
Number: -208377, Predicted: odd, Actual: odd ✓
Number: 459196, Predicted: even, Actual: even ✓
Number: -455921, Predicted: odd, Actual: odd ✓
Number: -670332, Predicted: even, Actual: even ✓
Number: 891738, Predicted: even, Actual: even ✓
Number: -859274, Predicted: even, Actual: even ✓
Number: -506912, Predicted: even, Actual: even ✓
Number: -546202, Predicted: even, Actual: even ✓
Number: -172754, Predicted: even, Actual: even ✓
Number: 311128, Predicted: even, Actual: even ✓
Number: -238466, Predicted: even, Actual: even ✓
Number: -314274, Predicted: even, Actual: even ✓
Number: -398287, Predicted: odd, Actual: odd ✓
Number: -703891, Predicted: odd, Actual: odd ✓
Number: 97972, Predicted: even, Actual: even ✓
Number: -157687, Predicted: odd, Actual: odd ✓
Number: 992932, Predicted: even, Actual: even ✓
Number: 468852, Predicted: even, Actual: even ✓
Number: -134271, Predicted: odd, Actual: odd ✓
Number: -869414, Predicted: even, Actual: even ✓
Number: -760601, Predicted: odd, Actual: odd ✓
Number: 949082, Predicted: even, Actual: even ✓
Number: -92048, Predicted: even, Actual: even ✓
Number: -747875, Predicted: odd, Actual: odd ✓
Number: 688012, Predicted: even, Actual: even ✓
Number: -25990, Predicted: even, Actual: even ✓
Number: 617550, Predicted: even, Actual: even ✓
Number: -283373, Predicted: odd, Actual: odd ✓
Number: -594505, Predicted: odd, Actual: odd ✓
Number: -55244, Predicted: even, Actual: even ✓
Number: 152749, Predicted: odd, Actual: odd ✓
Number: 639892, Predicted: even, Actual: even ✓
Number: -635009, Predicted: odd, Actual: odd ✓
Number: -9415, Predicted: odd, Actual: odd ✓
Number: -294379, Predicted: odd, Actual: odd ✓
Number: -624987, Predicted: odd, Actual: odd ✓
Number: -79231, Predicted: odd, Actual: odd ✓
Number: -797895, Predicted: odd, Actual: odd ✓
Number: 41509, Predicted: odd, Actual: odd ✓
Number: -361832, Predicted: even, Actual: even ✓
Number: 501550, Predicted: even, Actual: even ✓
Number: -650907, Predicted: odd, Actual: odd ✓
Number: -404587, Predicted: odd, Actual: odd ✓
Number: 583602, Predicted: even, Actual: even ✓
Number: 929694, Predicted: even, Actual: even ✓
Number: 595757, Predicted: odd, Actual: odd ✓
Number: -948559, Predicted: odd, Actual: odd ✓
Number: -625872, Predicted: even, Actual: even ✓
Number: -655364, Predicted: even, Actual: even ✓
Number: -771613, Predicted: odd, Actual: odd ✓
Number: -622038, Predicted: even, Actual: even ✓
Number: -105027, Predicted: odd, Actual: odd ✓
Number: 47380, Predicted: even, Actual: even ✓
Number: 590253, Predicted: odd, Actual: odd ✓
Number: -122567, Predicted: odd, Actual: odd ✓
Number: 199832, Predicted: even, Actual: even ✓
Number: -899074, Predicted: even, Actual: even ✓
Number: -667380, Predicted: even, Actual: even ✓
Number: -656760, Predicted: even, Actual: even ✓
Number: -144179, Predicted: odd, Actual: odd ✓
Number: 780947, Predicted: odd, Actual: odd ✓
Number: -206094, Predicted: even, Actual: even ✓
Number: 692972, Predicted: even, Actual: even ✓
Number: -540842, Predicted: even, Actual: even ✓
Number: -453414, Predicted: even, Actual: even ✓
Number: -947197, Predicted: odd, Actual: odd ✓
Number: -93118, Predicted: even, Actual: even ✓
Number: -960343, Predicted: odd, Actual: odd ✓
Number: 1359, Predicted: odd, Actual: odd ✓
Number: -671751, Predicted: odd, Actual: odd ✓
Number: -885301, Predicted: odd, Actual: odd ✓
Number: -787485, Predicted: odd, Actual: odd ✓
Number: -943557, Predicted: odd, Actual: odd ✓
Number: -776738, Predicted: even, Actual: even ✓
Number: -755177, Predicted: odd, Actual: odd ✓
Number: 90053, Predicted: odd, Actual: odd ✓
Number: 849890, Predicted: even, Actual: even ✓
Number: 858638, Predicted: even, Actual: even ✓
Number: -131857, Predicted: odd, Actual: odd ✓
Number: 157323, Predicted: odd, Actual: odd ✓
Number: -810905, Predicted: odd, Actual: odd ✓
Number: 203329, Predicted: odd, Actual: odd ✓
Number: 533013, Predicted: odd, Actual: odd ✓
Number: 213050, Predicted: even, Actual: even ✓
Number: -527331, Predicted: odd, Actual: odd ✓
Number: 77382, Predicted: even, Actual: even ✓
Number: 742535, Predicted: odd, Actual: odd ✓
Number: 587023, Predicted: odd, Actual: odd ✓
Number: -391536, Predicted: even, Actual: even ✓
Number: 450456, Predicted: even, Actual: even ✓
Number: 81750, Predicted: even, Actual: even ✓
Number: -815861, Predicted: odd, Actual: odd ✓
Number: -964551, Predicted: odd, Actual: odd ✓
Number: -382114, Predicted: even, Actual: even ✓
Number: -708301, Predicted: odd, Actual: odd ✓
Number: 904155, Predicted: odd, Actual: odd ✓
Number: -304400, Predicted: even, Actual: even ✓
Number: -641653, Predicted: odd, Actual: odd ✓
Number: 573668, Predicted: even, Actual: even ✓
Number: -726503, Predicted: odd, Actual: odd ✓
Number: 765672, Predicted: even, Actual: even ✓
Number: 160781, Predicted: odd, Actual: odd ✓
Number: 401713, Predicted: odd, Actual: odd ✓
Number: -194365, Predicted: odd, Actual: odd ✓
Number: 898780, Predicted: even, Actual: even ✓
Number: 733472, Predicted: even, Actual: even ✓
Number: 472004, Predicted: even, Actual: even ✓
Number: 981035, Predicted: odd, Actual: odd ✓
Number: 417683, Predicted: odd, Actual: odd ✓
Number: -400785, Predicted: odd, Actual: odd ✓
Number: -102156, Predicted: even, Actual: even ✓
Number: 313358, Predicted: even, Actual: even ✓
Number: -995013, Predicted: odd, Actual: odd ✓
Number: 833735, Predicted: odd, Actual: odd ✓
Number: -846329, Predicted: odd, Actual: odd ✓
Number: -721634, Predicted: even, Actual: even ✓
Number: 776321, Predicted: odd, Actual: odd ✓
Number: -313562, Predicted: even, Actual: even ✓
Number: -280314, Predicted: even, Actual: even ✓
Number: -337975, Predicted: odd, Actual: odd ✓
Number: 671726, Predicted: even, Actual: even ✓
Number: -520041, Predicted: odd, Actual: odd ✓
Number: 910841, Predicted: odd, Actual: odd ✓
Number: -61187, Predicted: odd, Actual: odd ✓
Number: -115327, Predicted: odd, Actual: odd ✓
Number: -500611, Predicted: odd, Actual: odd ✓
Number: 340192, Predicted: even, Actual: even ✓
Number: -636670, Predicted: even, Actual: even ✓
Number: 103055, Predicted: odd, Actual: odd ✓
Number: 210528, Predicted: even, Actual: even ✓
Number: -753714, Predicted: even, Actual: even ✓
Number: 862231, Predicted: odd, Actual: odd ✓
Number: 787202, Predicted: even, Actual: even ✓
Number: 875605, Predicted: odd, Actual: odd ✓
Number: 466502, Predicted: even, Actual: even ✓
Number: -323083, Predicted: odd, Actual: odd ✓
Number: -179365, Predicted: odd, Actual: odd ✓
Number: 74880, Predicted: even, Actual: even ✓
Number: -927160, Predicted: even, Actual: even ✓
Number: -264269, Predicted: odd, Actual: odd ✓
Number: -895379, Predicted: odd, Actual: odd ✓
Number: 200310, Predicted: even, Actual: even ✓
Number: -545017, Predicted: odd, Actual: odd ✓
Number: 898635, Predicted: odd, Actual: odd ✓
Number: -488438, Predicted: even, Actual: even ✓
Number: -1583, Predicted: odd, Actual: odd ✓
Number: -455533, Predicted: odd, Actual: odd ✓
Number: -614571, Predicted: odd, Actual: odd ✓
Number: -335597, Predicted: odd, Actual: odd ✓
Number: 705838, Predicted: even, Actual: even ✓
Number: 546257, Predicted: odd, Actual: odd ✓
Number: -793026, Predicted: even, Actual: even ✓
Number: 55031, Predicted: odd, Actual: odd ✓
Number: -827624, Predicted: even, Actual: even ✓
Number: -719927, Predicted: odd, Actual: odd ✓
Number: -213465, Predicted: odd, Actual: odd ✓
Number: 540376, Predicted: even, Actual: even ✓
Number: 389926, Predicted: even, Actual: even ✓
Number: -671326, Predicted: even, Actual: even ✓
Number: -194490, Predicted: even, Actual: even ✓
Number: 227308, Predicted: even, Actual: even ✓
Number: 577135, Predicted: odd, Actual: odd ✓
Number: 419152, Predicted: even, Actual: even ✓
Number: 338412, Predicted: even, Actual: even ✓
Number: 834227, Predicted: odd, Actual: odd ✓
Number: 997320, Predicted: even, Actual: even ✓
Number: 937718, Predicted: even, Actual: even ✓
Number: 968665, Predicted: odd, Actual: odd ✓
Number: 617136, Predicted: even, Actual: even ✓
Number: -564604, Predicted: even, Actual: even ✓
Number: 703236, Predicted: even, Actual: even ✓
Number: -397745, Predicted: odd, Actual: odd ✓
Number: -959768, Predicted: even, Actual: even ✓
Number: 871244, Predicted: even, Actual: even ✓
Number: -612865, Predicted: odd, Actual: odd ✓
Number: 783689, Predicted: odd, Actual: odd ✓
Number: 833183, Predicted: odd, Actual: odd ✓
Number: 806030, Predicted: even, Actual: even ✓
Number: -509158, Predicted: even, Actual: even ✓
Number: -408325, Predicted: odd, Actual: odd ✓
Number: -193184, Predicted: even, Actual: even ✓
Number: -192115, Predicted: odd, Actual: odd ✓
Number: -977060, Predicted: even, Actual: even ✓
Number: 232209, Predicted: odd, Actual: odd ✓
Number: -290163, Predicted: odd, Actual: odd ✓
Number: -875505, Predicted: odd, Actual: odd ✓
Number: -943631, Predicted: odd, Actual: odd ✓
Number: -44360, Predicted: even, Actual: even ✓
Number: 506989, Predicted: odd, Actual: odd ✓
Number: -203241, Predicted: odd, Actual: odd ✓
Number: 107400, Predicted: even, Actual: even ✓
Number: 773631, Predicted: odd, Actual: odd ✓
Number: -144587, Predicted: odd, Actual: odd ✓
Number: -81796, Predicted: even, Actual: even ✓
Number: -337090, Predicted: even, Actual: even ✓
Number: -24792, Predicted: even, Actual: even ✓
Number: -696249, Predicted: odd, Actual: odd ✓
Number: 745605, Predicted: odd, Actual: odd ✓
Number: -224804, Predicted: even, Actual: even ✓
Number: -866491, Predicted: odd, Actual: odd ✓
Number: -482829, Predicted: odd, Actual: odd ✓
Number: 303874, Predicted: even, Actual: even ✓
Number: -222953, Predicted: odd, Actual: odd ✓
Number: 967343, Predicted: odd, Actual: odd ✓
Number: -612009, Predicted: odd, Actual: odd ✓
Number: -177412, Predicted: even, Actual: even ✓
Number: -388749, Predicted: odd, Actual: odd ✓
Number: -950373, Predicted: odd, Actual: odd ✓
Number: -27463, Predicted: odd, Actual: odd ✓
Number: -775436, Predicted: even, Actual: even ✓
Number: -624411, Predicted: odd, Actual: odd ✓
Number: -664173, Predicted: odd, Actual: odd ✓
Number: 369501, Predicted: odd, Actual: odd ✓
Number: -441337, Predicted: odd, Actual: odd ✓
Number: 140455, Predicted: odd, Actual: odd ✓
Number: 653076, Predicted: even, Actual: even ✓
Number: -360597, Predicted: odd, Actual: odd ✓
Number: -834427, Predicted: odd, Actual: odd ✓
Number: -830430, Predicted: even, Actual: even ✓
Number: -428403, Predicted: odd, Actual: odd ✓
Number: -975469, Predicted: odd, Actual: odd ✓
Number: 895394, Predicted: even, Actual: even ✓
Number: -302174, Predicted: even, Actual: even ✓
Number: 760462, Predicted: even, Actual: even ✓
Number: -124383, Predicted: odd, Actual: odd ✓
Number: 727993, Predicted: odd, Actual: odd ✓
Number: -667655, Predicted: odd, Actual: odd ✓
Number: -803068, Predicted: even, Actual: even ✓
Number: 832926, Predicted: even, Actual: even ✓
Number: -487764, Predicted: even, Actual: even ✓
Number: -746112, Predicted: even, Actual: even ✓
Number: 390363, Predicted: odd, Actual: odd ✓
Number: -902935, Predicted: odd, Actual: odd ✓
Number: 148620, Predicted: even, Actual: even ✓
Number: 158575, Predicted: odd, Actual: odd ✓
Number: 596465, Predicted: odd, Actual: odd ✓
Number: 489732, Predicted: even, Actual: even ✓
Number: 780505, Predicted: odd, Actual: odd ✓
Number: -114093, Predicted: odd, Actual: odd ✓
Number: 692916, Predicted: even, Actual: even ✓
Number: 93000, Predicted: even, Actual: even ✓
Number: -347600, Predicted: even, Actual: even ✓
Number: -493034, Predicted: even, Actual: even ✓
Number: -51230, Predicted: even, Actual: even ✓
Number: 206583, Predicted: odd, Actual: odd ✓
Number: 601179, Predicted: odd, Actual: odd ✓
Number: 261246, Predicted: even, Actual: even ✓
Number: -232711, Predicted: odd, Actual: odd ✓
Number: -854636, Predicted: even, Actual: even ✓
Number: 569391, Predicted: odd, Actual: odd ✓
Number: 933051, Predicted: odd, Actual: odd ✓
Number: -125322, Predicted: even, Actual: even ✓
Number: 919156, Predicted: even, Actual: even ✓
Number: -800942, Predicted: even, Actual: even ✓
Number: -68581, Predicted: odd, Actual: odd ✓
Number: -372177, Predicted: odd, Actual: odd ✓
Number: -673870, Predicted: even, Actual: even ✓
Number: -572131, Predicted: odd, Actual: odd ✓
Number: 568014, Predicted: even, Actual: even ✓
Number: 283295, Predicted: odd, Actual: odd ✓
Number: -749768, Predicted: even, Actual: even ✓
Number: 178542, Predicted: even, Actual: even ✓
Number: 99317, Predicted: odd, Actual: odd ✓
Number: -614983, Predicted: odd, Actual: odd ✓
Number: -137598, Predicted: even, Actual: even ✓
Number: 669999, Predicted: odd, Actual: odd ✓
Number: 615604, Predicted: even, Actual: even ✓
Number: -638104, Predicted: even, Actual: even ✓
Number: -708544, Predicted: even, Actual: even ✓
Number: 62104, Predicted: even, Actual: even ✓
Number: -884416, Predicted: even, Actual: even ✓
Number: -218394, Predicted: even, Actual: even ✓
Number: -231062, Predicted: even, Actual: even ✓
Number: 576286, Predicted: even, Actual: even ✓
Number: 338125, Predicted: odd, Actual: odd ✓
Number: -224322, Predicted: even, Actual: even ✓
Number: -96413, Predicted: odd, Actual: odd ✓
Number: -106189, Predicted: odd, Actual: odd ✓
Number: -951637, Predicted: odd, Actual: odd ✓
Number: 712109, Predicted: odd, Actual: odd ✓
Number: 72603, Predicted: odd, Actual: odd ✓
Number: -175171, Predicted: odd, Actual: odd ✓
Number: 256914, Predicted: even, Actual: even ✓
Number: -282325, Predicted: odd, Actual: odd ✓
Number: 396559, Predicted: odd, Actual: odd ✓
Number: 529905, Predicted: odd, Actual: odd ✓
Number: 29879, Predicted: odd, Actual: odd ✓
Number: -287202, Predicted: even, Actual: even ✓
Number: -137375, Predicted: odd, Actual: odd ✓
Number: 1000000, Predicted: even, Actual: even ✓
Number: -555986, Predicted: even, Actual: even ✓
Number: 854323, Predicted: odd, Actual: odd ✓
Number: -243799, Predicted: odd, Actual: odd ✓
Number: 989625, Predicted: odd, Actual: odd ✓
Number: 578045, Predicted: odd, Actual: odd ✓
Number: -913634, Predicted: even, Actual: even ✓
Number: 942856, Predicted: even, Actual: even ✓
Number: 705736, Predicted: even, Actual: even ✓
Number: -66199, Predicted: odd, Actual: odd ✓
Number: -20312, Predicted: even, Actual: even ✓
Number: -932262, Predicted: even, Actual: even ✓
Number: 234763, Predicted: odd, Actual: odd ✓
Number: -377063, Predicted: odd, Actual: odd ✓
Number: -903773, Predicted: odd, Actual: odd ✓
Number: 529784, Predicted: even, Actual: even ✓
Number: -635923, Predicted: odd, Actual: odd ✓
Number: 82354, Predicted: even, Actual: even ✓
Number: -861847, Predicted: odd, Actual: odd ✓
Number: -425103, Predicted: odd, Actual: odd ✓
Number: 536656, Predicted: even, Actual: even ✓
Number: 266749, Predicted: odd, Actual: odd ✓
Number: -458854, Predicted: even, Actual: even ✓
Number: -424962, Predicted: even, Actual: even ✓
Number: 648814, Predicted: even, Actual: even ✓
Number: 236099, Predicted: odd, Actual: odd ✓
Number: -17347, Predicted: odd, Actual: odd ✓
Number: -325459, Predicted: odd, Actual: odd ✓
Number: -411783, Predicted: odd, Actual: odd ✓
Number: 518055, Predicted: odd, Actual: odd ✓
Number: -532931, Predicted: odd, Actual: odd ✓
Number: -678386, Predicted: even, Actual: even ✓
Number: 882763, Predicted: odd, Actual: odd ✓
Number: -910106, Predicted: even, Actual: even ✓
Number: 120569, Predicted: odd, Actual: odd ✓
Number: -43911, Predicted: odd, Actual: odd ✓
Number: 404779, Predicted: odd, Actual: odd ✓
Number: -173029, Predicted: odd, Actual: odd ✓
Number: -455655, Predicted: odd, Actual: odd ✓
Number: -272075, Predicted: odd, Actual: odd ✓
Number: -261212, Predicted: even, Actual: even ✓
Number: 393454, Predicted: even, Actual: even ✓
Number: -809720, Predicted: even, Actual: even ✓
Number: -240087, Predicted: odd, Actual: odd ✓
Number: -682643, Predicted: odd, Actual: odd ✓
Number: -576781, Predicted: odd, Actual: odd ✓
Number: 421762, Predicted: even, Actual: even ✓
Number: -705977, Predicted: odd, Actual: odd ✓
Number: 576647, Predicted: odd, Actual: odd ✓
Number: -891362, Predicted: even, Actual: even ✓
Number: 582875, Predicted: odd, Actual: odd ✓
Number: 314210, Predicted: even, Actual: even ✓
Number: -941606, Predicted: even, Actual: even ✓
Number: 68323, Predicted: odd, Actual: odd ✓
Number: -45339, Predicted: odd, Actual: odd ✓
Number: -892225, Predicted: odd, Actual: odd ✓
Number: -577140, Predicted: even, Actual: even ✓
Number: -862508, Predicted: even, Actual: even ✓
Number: -233738, Predicted: even, Actual: even ✓
Number: -826150, Predicted: even, Actual: even ✓
Number: -463602, Predicted: even, Actual: even ✓
Number: 617072, Predicted: even, Actual: even ✓
Number: -43703, Predicted: odd, Actual: odd ✓
Number: -904892, Predicted: even, Actual: even ✓
Number: 794856, Predicted: even, Actual: even ✓
Number: -762758, Predicted: even, Actual: even ✓
Number: 494058, Predicted: even, Actual: even ✓
Number: -398732, Predicted: even, Actual: even ✓
Number: -974087, Predicted: odd, Actual: odd ✓
Number: 873259, Predicted: odd, Actual: odd ✓
Number: -127098, Predicted: even, Actual: even ✓
Number: -978179, Predicted: odd, Actual: odd ✓
Number: -545574, Predicted: even, Actual: even ✓
Number: -630445, Predicted: odd, Actual: odd ✓
Number: 615749, Predicted: odd, Actual: odd ✓
Number: -692502, Predicted: even, Actual: even ✓
Number: 99903, Predicted: odd, Actual: odd ✓
Number: -522815, Predicted: odd, Actual: odd ✓
Number: 741600, Predicted: even, Actual: even ✓
Number: 835356, Predicted: even, Actual: even ✓
Number: -414604, Predicted: even, Actual: even ✓
Number: 13035, Predicted: odd, Actual: odd ✓
Number: -203310, Predicted: even, Actual: even ✓
Number: -271276, Predicted: even, Actual: even ✓
Number: 799093, Predicted: odd, Actual: odd ✓
Number: 744838, Predicted: even, Actual: even ✓
Number: -654861, Predicted: odd, Actual: odd ✓
Number: -649335, Predicted: odd, Actual: odd ✓
Number: -207783, Predicted: odd, Actual: odd ✓
Number: 896091, Predicted: odd, Actual: odd ✓
Number: -316048, Predicted: even, Actual: even ✓
Number: -902217, Predicted: odd, Actual: odd ✓
Number: -882563, Predicted: odd, Actual: odd ✓
Number: 500973, Predicted: odd, Actual: odd ✓
Number: -374286, Predicted: even, Actual: even ✓
Number: -839134, Predicted: even, Actual: even ✓
Number: 824798, Predicted: even, Actual: even ✓
Number: -567083, Predicted: odd, Actual: odd ✓
Number: -304089, Predicted: odd, Actual: odd ✓
Number: -154104, Predicted: even, Actual: even ✓
Number: -611325, Predicted: odd, Actual: odd ✓
Number: -961222, Predicted: even, Actual: even ✓
Number: -752928, Predicted: even, Actual: even ✓
Number: -7047, Predicted: odd, Actual: odd ✓
Number: 189921, Predicted: odd, Actual: odd ✓
Number: 576391, Predicted: odd, Actual: odd ✓
Number: -428712, Predicted: even, Actual: even ✓
Number: -326312, Predicted: even, Actual: even ✓
Number: -592197, Predicted: odd, Actual: odd ✓
Number: 822971, Predicted: odd, Actual: odd ✓
Number: -366147, Predicted: odd, Actual: odd ✓
Number: -955279, Predicted: odd, Actual: odd ✓
Number: -831060, Predicted: even, Actual: even ✓
Number: -673701, Predicted: odd, Actual: odd ✓
Number: -356914, Predicted: even, Actual: even ✓
Number: -360621, Predicted: odd, Actual: odd ✓
Number: -695854, Predicted: even, Actual: even ✓
Number: -697527, Predicted: odd, Actual: odd ✓
Number: 29963, Predicted: odd, Actual: odd ✓
Number: 580178, Predicted: even, Actual: even ✓
Number: -713070, Predicted: even, Actual: even ✓
Number: 969071, Predicted: odd, Actual: odd ✓
Number: 587832, Predicted: even, Actual: even ✓
Number: -303641, Predicted: odd, Actual: odd ✓
Number: 673785, Predicted: odd, Actual: odd ✓
Number: -24008, Predicted: even, Actual: even ✓
Number: -183697, Predicted: odd, Actual: odd ✓
Number: -651975, Predicted: odd, Actual: odd ✓
Number: -1, Predicted: odd, Actual: odd ✓
Number: 13401, Predicted: odd, Actual: odd ✓
Number: 577979, Predicted: odd, Actual: odd ✓
Number: -272845, Predicted: odd, Actual: odd ✓
Number: -332208, Predicted: even, Actual: even ✓
Number: 453486, Predicted: even, Actual: even ✓
Number: 83247, Predicted: odd, Actual: odd ✓
Number: -695149, Predicted: odd, Actual: odd ✓
Number: 414513, Predicted: odd, Actual: odd ✓
Number: 702335, Predicted: odd, Actual: odd ✓
Number: 37887, Predicted: odd, Actual: odd ✓
Number: -949282, Predicted: even, Actual: even ✓
Number: -353949, Predicted: odd, Actual: odd ✓
Number: -877003, Predicted: odd, Actual: odd ✓
Number: -775922, Predicted: even, Actual: even ✓
Number: 1000000, Predicted: even, Actual: even ✓
Number: 244101, Predicted: odd, Actual: odd ✓
Number: 163416, Predicted: even, Actual: even ✓
Number: 669896, Predicted: even, Actual: even ✓
Number: -14939, Predicted: odd, Actual: odd ✓
Number: -543942, Predicted: even, Actual: even ✓
